idx,type,value
0,ORG,B9 社大
1,ORG,克萊蒙森大學
2,GPE,美國
3,DATE,這幾天
4,DATE,這兩天
5,ORG,MS of CS
6,ORDINAL,第一
7,FAC,迪卡路
8,PERSON,B1 
9,PRODUCT,QQ
10,PERSON,B2 
11,PERSON,B3 容
12,GPE,美國
13,GPE,美國
14,GPE,美國
15,CARDINAL,一
16,GPE,美國
17,GPE,美國
18,DATE,兩年
19,DATE,四年
20,ORG,普大
21,ORG,普大
22,PRODUCT,B10
23,ORG,社大
24,NORP,美國籍
25,GPE,台灣
26,CARDINAL,6.5
27,DATE,12/8
28,ORDINAL,第一
29,CARDINAL,二
30,ORDINAL,第6
31,ORG,Airbnb
32,GPE,布魯塞爾
33,GPE,美國
34,CARDINAL,一
35,ORDINAL,第一時間
36,NORP,中國人
37,LANGUAGE,英文
38,LANGUAGE,法文
39,PERSON,捷克文
40,CARDINAL,三
41,GPE,加拿大
42,ORG,College
43,ORG,文學院
44,GPE,加拿大
45,CARDINAL,三
46,DATE,一兩年
47,ORG,台大
48,PERSON,卡布奇諾
49,CARDINAL,一次
50,DATE,明年的2～6月
51,PRODUCT,B17 
52,PERSON,B20 
53,DATE,今天
54,DATE,兩年
55,GPE,溫哥華
56,DATE,跨年
57,GPE,台灣
58,ORG,B23 
59,DATE,新年
60,LANGUAGE,英語
61,PRODUCT,B23 
62,GPE,澳洲
63,CARDINAL,兩
64,ORG,IG
65,ORDINAL,第一
66,GPE,倫敦
67,GPE,紐約
68,DATE,2018年
69,GPE,倫敦市中心
70,LOC,西岸
71,LOC,太平洋
72,DATE,2018
73,LOC,西岸
74,LOC,東岸
75,GPE,Samoa
76,ORDINAL,第一
77,GPE,American Samoa
78,DATE,跨年
79,LANGUAGE,英文
80,CARDINAL,65
81,LANGUAGE,英文
82,CARDINAL,70
83,GPE,紐西蘭
84,PRODUCT,B21 
85,GPE,紐約
86,GPE,Wisconsin
87,TIME,15分鐘
88,CARDINAL,55
89,ORG,B6 
90,GPE,京都
91,GPE,神戶
92,NORP,韓國
93,GPE,神戶
94,DATE,下週一
95,FAC,大丸百貨大樓
96,DATE,前兩週
97,GPE,神戶
98,TIME,下午
99,ORG,Lexis
100,GPE,神戶
101,NORP,日本
102,ORG,UNIQLO
103,GPE,神戶
104,TIME,上午
105,GPE,京都
106,LOC,神戶南京町
107,GPE,草津
108,ORDINAL,第一
109,GPE,大阪
110,NORP,日本
111,TIME,55分鐘
112,TIME,兩分鐘
113,GPE,馬六甲
114,TIME,下午
115,ORDINAL,第二
116,TIME,下午
117,TIME,一個多小時
118,ORG,城大
119,ORG,國大
120,ORG,港大中大科大
121,GPE,香港
122,ORG,新加坡南洋理工
123,LOC,亞洲
124,DATE,今年上學期
125,GPE,英國
126,GPE,英國
127,LOC,歐洲
128,NORP,英國
129,GPE,法國
