gpe,counts
台灣,7742
美國,4042
日本,2133
英國,1913
中國,1744
澳洲,1337
加拿大,1178
韓國,989
大陸,849
德國,842
臺灣,611
菲律賓,611
法國,478
倫敦,454
香港,422
上海,369
溫哥華,367
中華民國,348
荷蘭,332
北京,330
台北,324
加州,312
美,300
新加坡,280
紐約,270
西班牙,268
多倫多,254
墨爾本,228
台,224
東京,219
紐西蘭,212
英,206
義大利,195
宿霧,154
雪梨,150
泰國,147
大阪,142
澳,126
高雄,125
捷克,121
波士頓,116
港,113
巴黎,108
首爾,105
波蘭,99
俄羅斯,98
西雅圖,94
南京,94
中國大陸,92
馬來西亞,90
日,80
台中,80
瑞士,79
舊金山,77
愛丁堡,77
瑞典,76
立陶宛,75
碧瑤,67
奧克蘭,66
愛爾蘭,66
京都,64
馬德里,64
中,61
越南,60
韓,58
芬蘭,58
比利時,57
Leeds,57
廣州,54
中華人民共和國,53
奧地利,53
洛杉磯,52
台灣省,51
兩岸,50
俄國,49
德州,49
釜山,45
莫斯科,42
印度,42
台獨,41
博班,41
柏林,41
葡萄牙,41
台南,40
台北市,39
里茲,39
布里斯本,38
武漢,37
蘇格蘭,37
加,36
蘭卡,36
墨西哥,34
新竹,34
深圳,34
密西根,33
夏威夷,33
浙江,33
澳門,32
土耳其,31
哈爾濱,30
