org,counts
台大,779
B1 ,336
中共,138
清華,122
政大,110
教育部,103
歐盟,100
華威,95
USC,89
哈佛,84
曼大,83
墨大,80
UCL,79
北大,70
戴爾,70
劍橋,68
成大,65
UCLA,64
托福,63
UBC,61
輔大,57
醫學系,57
共產黨,57
臺大,54
清大,53
台灣大學,53
Leeds,51
移民局,48
社大,45
淘寶,45
國民黨,44
逢甲,43
國際處,42
雪梨大學,41
科大,41
墨爾本大學,41
交大,41
浙大,40
同濟,39
復旦,37
LSE,37
美國大學,37
麥當勞,37
華大,36
UCSD,36
史丹佛,35
考試院,35
AIT,34
語言學校,33
南京大學,32
牛津,32
ILAC,32
台灣同學會,32
google,30
星巴克,30
B4 ,29
B7 ,29
NYU,28
中央,27
MIT,27
台灣學生會,27
博班,27
百度,27
Durham,26
Berkeley,26
加州大學,26
華航,26
東大,25
CMU,25
哥大,25
密西根大學,25
UTD,25
Warwick,25
華科,25
ASU,24
台灣醫學系,24
師大,24
北京大學,24
外交部,24
G5,24
上海交大,23
經濟系,23
商學院,23
中文系,23
成均館,22
GPA,22
浙江大學,22
機械系,22
清華大學,22
移民署,21
東北大學,21
人大,21
UQ,21
UNSW,21
南加大,20
北醫,20
UIUC,20
B6 ,19
淡江,19
日本大學,19
