FAC,counts
高雄君鴻酒店,21
新竹芙洛麗大飯店,19
捷運站,13
I-20,10
484,8
桃園機場,8
中國領事館,7
AIT,6
南鑼鼓巷,6
迪士尼,5
斯巴達校區,5
B36,5
天安門,5
北京機場,5
紅場,5
高雄福華大飯店,5
985,4
711,4
G5,4
比佛利山莊,4
故宮,4
天安門廣場,4
溫哥華機場,4
台北市立圖書館總館,4
先佛塔寺,4
王如來塔寺,4
西土城,4
台灣機場,4
忠孝東路,4
凱薩琳宮,4
冬宮,4
Monol語言中心,3
104,3
維多利亞,3
雪梨大學,3
台南火車站,3
曼哈頓,3
B3,3
325,3
JFK,3
松江大學城,3
紐約地鐵,3
7-11,3
南京復興站,3
華府,3
圓明園,3
三環,3
北航,3
北京南站,3
克拉克機場,3
台北喜來登大飯店,3
國際文化大廈,3
中央公園,3
桂香園,3
Benguet,2
中山陵,2
B13,2
七號線,2
友誼會館,2
Skytrain,2
新宿御苑,2
B1,2
Aldi,2
數學系館,2
沙威瑪店,2
牛津街,2
巴爾博雅公園,2
美國機場,2
223,2
outlet,2
中南海,2
倫敦塔橋,2
閔行校區,2
西南九樓,2
臺北市信義區菸廠路88號6樓,2
台北文創 6樓,2
捷運松江南京站,2
嘉實生活廣場,2
仁川機場,2
ILAC,2
國泰航空,2
桃機,2
漢陽大學語學院,2
捷運,2
內湖站,2
台灣遊樂園,2
番禺廣場,2
鼎泰豐,2
南港高鐵站,2
黃石公園,2
台灣大學第二活動中心,2
洋基球場,2
三元橋,2
牡丹園,2
北京西站,2
牛街,2
八達嶺,2
三里屯,2
馬尼拉機場,2
群光廣場,2
博雅園,2
老通城,2
710,2
國家公園,2
543,2
台北經濟文化辦事處,2
波士頓地鐵,2
6號線,2
北科大集思會議中心,2
彼得夏宮,2
黎剎紀念館,2
布萊頓校區,2
哥德蘭校區,2
Zonguldak,2
670,2
轉機航廈,2
I-94,2
迪卡路,1
大丸百貨大樓,1
布魯克林橋,1
台北市大同區承德路一段35號7樓,1
倫敦希斯洛機場,1
曼哈頓大橋,1
上海地鐵10號線,1
上海體院,1
嘉定圖書館,1
Seafront 校區,1
QQ English,1
Seafront校區,1
台北市羅斯福路3段261號10樓,1
捷運台電大樓,1
B26 SMEAG,1
5-9,1
碧瑤學校,1
半斯巴達校區,1
Thomas More ,1
波士頓大學,1
臺北車站,1
台灣街,1
Piccadilly Circus,1
Nanaimo,1
關西機場,1
京橋,1
B5,1
MRT站,1
華中離地鐵站,1
Westminster,1
大寧國際購物中心,1
五站,1
上海大學,1
