date,tot_rev,net_inc
20190531,61646.00 ,1421.00 
20181231,54909.00 ,-421
20180930,47269.00 ,1390.00 
20180630,46708.00 ,-2563
20180331,45693.00 ,998.00 
20171231,48385.00 ,3287.00 
20170930,46181.00 ,1285.00 
20170630,45685.00 ,1098.00 
20170331,44514.00 ,953.00 
20161231,45971.00 ,1707.00 
20160930,44615.00 ,1541.00 
20160630,43725.00 ,924.00 
20160331,43215.00 ,1147.00 
20151231,41146.00 ,1499.00 
20150930,38644.00 ,1247.00 
20150630,37169.00 ,1272.00 
20150331,36332.00 ,1221.00 
20141231,37055.00 ,1321.00 
20140930,35021.00 ,948.00 
20140630,34602.00 ,1246.00 
20140331,32689.00 ,1129.00 
20131231,32830.00 ,1265.00 
20130930,31932.00 ,1249.00 
20130630,31248.00 ,1124.00 
20130331,30751.00 ,954.00 
20121231,31394.00 ,1129.00 
20120930,30227.00 ,1006.00 
20120630,30714.00 ,965.00 
20120331,30798.00 ,775.00 
20111231,28317.00 ,1063.00 
20110930,26674.00 ,867.00 
20110630,26414.00 ,815.00 
20110331,25695.00 ,712.00 
20101231,24137.00 ,1025.00 
20100930,23875.00 ,808.00 
20100630,24007.00 ,821.00 
20100331,23760.00 ,770.00 
20091231,25822.00 ,1050.00 
20090930,24642.00 ,1021.00 
20090630,24871.00 ,886.00 
20090331,23394.00 ,738.00 
20081231,24142.30 ,952.70 
20080927,20863.40 ,736.00 
20080628,21140.30 ,774.80 
20080329,21326.00 ,748.50 
20071229,21942.90 ,815.00 
20070929,20495.20 ,689.50 
20070630,20703.30 ,723.60 
20070331,13188.60 ,408.90 
,,
20060930,11206.90 ,284.20 
20060701,10561.40 ,337.90 
20060401,9979.20 ,329.60 
,,
20051001,8970.40 ,252.70 
20050702,9121.60 ,275.90 
20050402,9182.20 ,289.70 
,,
20041002,7909.40 ,184.60 
20040703,6943.10 ,234.50 
20040403,6818.60 ,244.60 
,,
20030927,6378.10 ,187.80 
20030628,6444.90 ,199.80 
20030329,6312.80 ,196.30 
