date,tot_rev
20190531," 61,646 "
20181231," 54,909 "
20180930," 47,269 "
20180630," 46,708 "
20180331," 45,693 "
20171231," 48,385 "
20170930," 46,181 "
20170630," 45,685 "
20170331," 44,514 "
20161231," 45,971 "
20160930," 44,615 "
20160630," 43,725 "
20160331," 43,215 "
20151231," 41,146 "
20150930," 38,644 "
20150630," 37,169 "
20150331," 36,332 "
20141231," 37,055 "
20140930," 35,021 "
20140630," 34,602 "
20140331," 32,689 "
20131231," 32,830 "
20130930," 31,932 "
20130630," 31,248 "
20130331," 30,751 "
20121231," 31,394 "
20120930," 30,227 "
20120630," 30,714 "
20120331," 30,798 "
20111231," 28,317 "
20110930," 26,674 "
20110630," 26,414 "
20110331," 25,695 "
20101231," 24,137 "
20100930," 23,875 "
20100630," 24,007 "
20100331," 23,760 "
20091231," 25,822 "
20090930," 24,642 "
20090630," 24,871 "
20090331," 23,394 "
20081231," 24,142 "
20080927," 20,863 "
20080628," 21,140 "
20080329," 21,326 "
20071229," 21,943 "
20070929," 20,495 "
20070630," 20,703 "
20070331," 13,189 "
